CID,composerName,composerBornYear,composerDeadthYear,gender,composerImgURL,composerURL,wikidata URL,freq
2,Zequinha de Abreu,1880,1935,male,https://upload.wikimedia.org/wikipedia/commons/c/c1/Zequinhadeabreu.jpg,https://www.google.com/search?kgmid=/m/03hlk0f,http://www.wikidata.org/entity/Q167752,10
3,Adolphe Adam,1803,1856,male,http://commons.wikimedia.org/wiki/Special:FilePath/Adolphe%20Adam.jpg,https://www.google.com/search?kgmid=/m/01rwx8q,http://www.wikidata.org/entity/Q189544,10
941,Ond?ej Ad·mek,1979,,male,,,http://www.wikidata.org/entity/Q54932827,10
5,John Adams,1947,,male,http://commons.wikimedia.org/wiki/Special:FilePath/JA-portrait-1-LW.jpg,https://www.google.com/search?kgmid=/m/046q7,http://www.wikidata.org/entity/Q84114,10
6,Nat Adderley,1931,2000,male,http://commons.wikimedia.org/wiki/Special:FilePath/19930225%20nat%20adderley%20braunschweig%20museum.jpg,https://www.google.com/search?kgmid=/m/03bzyl,http://www.wikidata.org/entity/Q499649,10
11,Kalevi Aho,1949,,male,http://commons.wikimedia.org/wiki/Special:FilePath/Kalevi%20Aho.jpg,https://www.google.com/search?kgmid=/m/054vyp,http://www.wikidata.org/entity/Q521079,10
12,Gregor Aichinger,1561,1628,male,,https://www.google.com/search?kgmid=/m/038mq,http://www.wikidata.org/entity/Q633088,10
13,Robert Aitken,1939,,male,,https://www.google.com/search?kgmid=/m/03yz4td,http://www.wikidata.org/entity/Q323134,10
15,Ambrose Akinmusire,1982,,male,http://commons.wikimedia.org/wiki/Special:FilePath/Ambrose%20Akinmusire%202011.jpg,https://www.google.com/search?kgmid=/m/03gy3_w,http://www.wikidata.org/entity/Q34054,10
16,Toshiko Akiyoshi,1929,,female,http://commons.wikimedia.org/wiki/Special:FilePath/Akiyoshi%20Toshiko%201953.jpg,https://www.google.com/search?kgmid=/m/02rtvb,http://www.wikidata.org/entity/Q437117,10
17,Tomaso Albinoni,1671,1751,male,http://commons.wikimedia.org/wiki/Special:FilePath/Albinoni.jpg,https://www.google.com/search?kgmid=/m/07mr0,http://www.wikidata.org/entity/Q174606,10
20,Van Alexander,1915,2015,male,http://commons.wikimedia.org/wiki/Special:FilePath/Van-Alexander%202013-11-16.jpg,https://www.google.com/search?kgmid=/m/0412_2k,http://www.wikidata.org/entity/Q2509755,10
23,Kathleen Allan,1989,,female,,,http://www.wikidata.org/entity/Q63285863,10
24,Gregorio Allegri,1582,1652,male,http://commons.wikimedia.org/wiki/Special:FilePath/Gregorio%20Allegri%20Romano01.jpg,https://www.google.com/search?kgmid=/m/038ws,http://www.wikidata.org/entity/Q216695,10
25,Geri Allen,1957,2017,female,http://commons.wikimedia.org/wiki/Special:FilePath/Geri-allen-by-pablo-secca.jpg,https://www.google.com/search?kgmid=/m/082hpz,http://www.wikidata.org/entity/Q448163,10
29,Leroy Anderson,1908,1975,male,,https://www.google.com/search?kgmid=/m/02b05w,http://www.wikidata.org/entity/Q366756,10
32,Louis Andriessen,1939,2021,male,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Andriessen%2C%20Bestanddeelnr%20932-5716.jpg,https://www.google.com/search?kgmid=/m/01kc38c,http://www.wikidata.org/entity/Q504743,10
37,Louis Applebaum,1918,2000,male,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Applebaum.jpg,https://www.google.com/search?kgmid=/m/04dy3y,http://www.wikidata.org/entity/Q506312,10
