soundfile_ID,piece_ID,CID,include,composer_name,composer_compare_set,Century,composerBornYear,composerDeadthYear,BIPOC,Sexual_orientation,Sex,place_of_origin,Color_BIPOC,composerImgURL,composerURL,wikidata_URL
3423,1385,1,Yes,"Abreu, Zequinha de",Validation set,20th century,1880,1935,People of Color,,Male,Brazil,,http://commons.wikimedia.org/wiki/Special:FilePath/Zequinha%20de%20Abreu%2C%201961.tif,https://www.google.com/search?kgmid=/m/03hlk0f,http://www.wikidata.org/entity/Q167752
3133,1282,2,Yes,"Adam, Adolphe",Validation set,19th century,1803,1856,Non-BIPOC,,Male,France,,http://commons.wikimedia.org/wiki/Special:FilePath/Adolphe%20Adam.jpg,https://www.google.com/search?kgmid=/m/01rwx8q,http://www.wikidata.org/entity/Q189544
1748,673,3,Yes,"Adamcyk, David",Search set,21th century,1977,,Non-BIPOC,,Male,Canada,,,,
740,262,4,Yes,"Adámek, Ondřej",Search set,21th century,1979,,Non-BIPOC,,Male,Czech,,,,
2118,2945,5,Yes,"Adamo, Mark",Search set,20th century,1962,,Non-BIPOC,,Male,USA,,,,
1258,462,6,Yes,"Adams, John",Validation set,20th century,1947,,Non-BIPOC,,Male,USA,,http://commons.wikimedia.org/wiki/Special:FilePath/JA-portrait-1-LW.jpg,https://www.google.com/search?kgmid=/m/046q7,http://www.wikidata.org/entity/Q84114
6088,2395,7,Yes,"Adderley, Nat",Validation set,20th century,1931,2000,Non-BIPOC,,Male,USA,,http://commons.wikimedia.org/wiki/Special:FilePath/19930225%20nat%20adderley%20braunschweig%20museum.jpg,https://www.google.com/search?kgmid=/m/03bzyl,http://www.wikidata.org/entity/Q499649
5701,2231,8,Yes,"Ahle, Johann Rudolf",Validation set,17th century,1625,1673,Non-BIPOC,,Male,Germany,,,,
5883,2299,9,Yes,"Aho, Kalevi",Search set,20th century,1949,,Non-BIPOC,,Male,Finland,,http://commons.wikimedia.org/wiki/Special:FilePath/Kalevi%20Aho.jpg,https://www.google.com/search?kgmid=/m/054vyp,http://www.wikidata.org/entity/Q521079
1014,353,10,Yes,"Aichinger, Gregor",Validation set,16th century,1564,1628,Non-BIPOC,,Male,Germany,,,https://www.google.com/search?kgmid=/m/038mq,http://www.wikidata.org/entity/Q633088
1999,776,11,Yes,"Aitken, Robert",Validation set,20th century,1939,,Non-BIPOC,,Male,Canada,,,https://www.google.com/search?kgmid=/m/03yz4td,http://www.wikidata.org/entity/Q323134
4647,1823,12,Yes,"Akinmusire, Ambrose",Search set,21th century,1982,,Black,,Male,USA,,http://commons.wikimedia.org/wiki/Special:FilePath/Ambrose%20Akinmusire%202011.jpg,https://www.google.com/search?kgmid=/m/03gy3_w,http://www.wikidata.org/entity/Q34054
70,2260,13,Yes,"Akiyoshi, Toshiko",Validation set,20th century,1929,,People of Color,,Female,China,,http://commons.wikimedia.org/wiki/Special:FilePath/Akiyoshi%20Toshiko%201953.jpg,https://www.google.com/search?kgmid=/m/02rtvb,http://www.wikidata.org/entity/Q437117
3125,1278,14,Yes,"Albinoni, Tomaso",Validation set,18th century,1671,1750,Non-BIPOC,,Male,Italy,,http://commons.wikimedia.org/wiki/Special:FilePath/Albinoni.jpg,https://www.google.com/search?kgmid=/m/07mr0,http://www.wikidata.org/entity/Q174606
279,87,15,Yes,"Albisi, Abelardo",Validation set,20th century,1872,1938,Non-BIPOC,,Male,Italy,,,,
2852,1157,16,Yes,"Alchevs'kyi, Hryhorii Oleksiiovych",Validation set,19th century,1866,1920,Non-BIPOC,,Male,Ukraine,,,,
5546,2180,17,Yes,"Alexander, Van",Validation set,20th century,1915,2015,Non-BIPOC,,Male,USA,,http://commons.wikimedia.org/wiki/Special:FilePath/Van-Alexander%202013-11-16.jpg,https://www.google.com/search?kgmid=/m/0412_2k,http://www.wikidata.org/entity/Q2509755
4662,1837,18,Yes,"Ali, Zara",Search set,21th century,1995,,Non-BIPOC,,Female,USA,,,,
2764,1117,19,Yes,"Allan, Kathleen",Search set,21th century,1989,,Non-BIPOC,,Female,Canada,,,,http://www.wikidata.org/entity/Q63285863
3496,1432,20,Yes,"Allegri, Gregorio",Validation set,17th century,1582,1652,Non-BIPOC,,Male,Italy,,http://commons.wikimedia.org/wiki/Special:FilePath/Gregorio%20Allegri%20Romano01.jpg,https://www.google.com/search?kgmid=/m/038ws,http://www.wikidata.org/entity/Q216695
6353,2531,21,Yes,"Allen, Geri",Search set,20th century,1957,2017,Black,,Female,USA,,http://commons.wikimedia.org/wiki/Special:FilePath/Geri-allen-by-pablo-secca.jpg,https://www.google.com/search?kgmid=/m/082hpz,http://www.wikidata.org/entity/Q448163
4893,1931,22,Yes,"Alm, Jan",Search set,20th century,1955,,Non-BIPOC,,Male,Sweden,,,,
2044,797,23,Yes,"Almeida, Patricia Sucena",Validation set,20th century,1972,,Non-BIPOC,,Female,Portugal,,,,
